电视频道,#genre#
广东移动,http://192.168.10.1:4022/rtp/239.20.0.133:2064$标清
潮州综合,http://192.168.10.1:4022/udp/239.21.0.145:3924$高清
潮州民生,http://192.168.10.1:4022/udp/239.21.0.146:3928$高清
广东民生,http://192.168.10.1:4022/rtp/239.21.0.86:3684$高清
广东民生,http://192.168.10.1:4022/rtp/239.20.0.113:2024$标清
CCTV1综合,http://192.168.10.1:4022/rtp/239.20.0.96:3016$超清
CCTV1综合,http://192.168.10.1:4022/rtp/239.20.0.104:2006$高清
CCTV1综合,http://192.168.10.1:4022/rtp/239.20.0.192:2182$标清
CCTV2财经,http://192.168.10.1:4022/rtp/239.20.0.197:2192$高清
CCTV2财经,http://192.168.10.1:4022/rtp/239.20.0.176:2150$标清
CCTV3综艺,http://192.168.10.1:4022/rtp/239.20.0.28:3292$高清
CCTV3综艺,http://192.168.10.1:4022/rtp/239.20.0.27:3296$标清
CCTV4中文国际,http://192.168.10.1:4022/rtp/239.20.0.16:3340$高清
CCTV4中文国际,http://192.168.10.1:4022/rtp/239.20.0.177:2152$标清
CCTV4中文国际欧洲,http://192.168.10.1:4022/rtp/239.21.0.107:3768$高清
CCTV4中文国际美洲,http://192.168.10.1:4022/rtp/239.21.0.108:3772$高清
CCTV5体育,http://192.168.10.1:4022/rtp/239.20.0.30:3284$高清
CCTV5体育,http://192.168.10.1:4022/rtp/239.20.0.26:3300$标清
CCTV5+体育赛事,http://192.168.10.1:4022/udp/239.20.0.203:2204$高清
CCTV6电影,http://192.168.10.1:4022/rtp/239.20.0.29:3288$高清
CCTV6电影,http://192.168.10.1:4022/rtp/239.20.0.25:3304$标清
CCTV7国防军事,http://192.168.10.1:4022/rtp/239.20.0.198:2194$高清
CCTV7国防军事,http://192.168.10.1:4022/rtp/239.20.0.178:2154$标清
CCTV8电视剧,http://192.168.10.1:4022/rtp/239.20.0.31:3280$高清
CCTV8电视剧,http://192.168.10.1:4022/rtp/239.20.0.24:3308$标清
CCTV9纪录,http://192.168.10.1:4022/rtp/239.20.0.199:2196$高清
CCTV9纪录,http://192.168.10.1:4022/rtp/239.20.0.179:2156$标清
CCTV10科教,http://192.168.10.1:4022/rtp/239.20.0.200:2198$高清
CCTV10科教,http://192.168.10.1:4022/rtp/239.20.0.180:2158$标清
金鹰卡通,http://192.168.10.1:4022/rtp/239.21.0.115:3804$高清
金鹰卡通,http://192.168.10.1:4022/rtp/239.20.0.163:2124$标清
CCTV11戏曲,http://192.168.10.1:4022/rtp/239.21.0.35:3480$高清
CCTV11戏曲,http://192.168.10.1:4022/rtp/239.20.0.181:2160$标清
CCTV12社会与法,http://192.168.10.1:4022/rtp/239.20.0.201:2200$高清
CCTV12社会与法,http://192.168.10.1:4022/rtp/239.20.0.182:2162$标清
CCTV13新闻,http://192.168.10.1:4022/rtp/239.21.0.88:3692$高清
CCTV13新闻,http://192.168.10.1:4022/rtp/239.20.0.183:2164$标清
CCTV14少儿,http://192.168.10.1:4022/rtp/239.20.0.202:2202$高清
CCTV14少儿,http://192.168.10.1:4022/rtp/239.20.0.184:2166$标清
CCTV15音乐,http://192.168.10.1:4022/rtp/239.21.0.36:3484$高清
CCTV15音乐,http://192.168.10.1:4022/rtp/239.20.0.185:2168$标清
CCTV16奥林匹克,http://192.168.10.1:4022/rtp/239.21.0.116:3808$高清
CCTV17农业农村,http://192.168.10.1:4022/rtp/239.20.0.7:3376$高清
CCTV17农业农村,http://192.168.10.1:4022/rtp/239.20.0.8:3372$标清
嘉佳卡通,http://192.168.10.1:4022/rtp/239.21.0.94:3716$高清
嘉佳卡通,http://192.168.10.1:4022/rtp/239.20.0.119:2036$标清
CGTN,http://192.168.10.1:4022/rtp/239.21.0.109:3776$高清
CGTN,http://192.168.10.1:4022/rtp/239.20.0.186:2170$标清
CGTN英文纪录,http://192.168.10.1:4022/udp/239.21.0.110:3780$高清
CGTN西班牙语,http://192.168.10.1:4022/rtp/239.21.0.111:3800$高清
CGTN法语,http://192.168.10.1:4022/rtp/239.21.0.112:3788$高清
CGTN阿拉伯语,http://192.168.10.1:4022/rtp/239.21.0.113:3792$高清
哈哈炫动,http://192.168.10.1:4022/rtp/239.20.0.164:2126$标清
CGTN俄语,http://192.168.10.1:4022/rtp/239.21.0.114:3796$高清
CCTV兵器科技,http://192.168.10.1:4022/rtp/239.21.0.80:3660$高清
CCTV电视指南,http://192.168.10.1:4022/rtp/239.21.0.81:3664$高清
CCTV风云足球,http://192.168.10.1:4022/rtp/239.21.0.70:3620$高清
CCTV央视台球,http://192.168.10.1:4022/rtp/239.21.0.71:3624$高清
CCTV高尔夫·网球,http://192.168.10.1:4022/rtp/239.21.0.72:3628$高清
CCTV女性时尚,http://192.168.10.1:4022/rtp/239.21.0.73:3632$高清
CCTV世界地理,http://192.168.10.1:4022/rtp/239.21.0.74:3636$高清
CCTV怀旧剧场,http://192.168.10.1:4022/rtp/239.21.0.75:3640$高清
CCTV风云剧场,http://192.168.10.1:4022/rtp/239.21.0.76:3644$高清
CCTV央视文化精品,http://192.168.10.1:4022/rtp/239.21.0.77:3648$高清
CCTV第一剧场,http://192.168.10.1:4022/rtp/239.21.0.78:3652$高清
浙江卫视,http://192.168.10.1:4022/rtp/239.20.0.169:2136$高清
浙江卫视,http://192.168.10.1:4022/rtp/239.20.0.94:3024$超清
浙江卫视,http://192.168.10.1:4022/rtp/239.20.0.106:2010$标清
安徽卫视,http://192.168.10.1:4022/rtp/239.20.0.193:2184$高清
安徽卫视,http://192.168.10.1:4022/rtp/239.20.0.136:2070$标清
CCTV风云音乐,http://192.168.10.1:4022/rtp/239.21.0.79:3656$高清
CETV1,http://192.168.10.1:4022/rtp/239.20.0.213:2224$高清
CETV2,http://192.168.10.1:4022/rtp/239.21.0.46:3524$标清
CETV4,http://192.168.10.1:4022/rtp/239.21.0.47:3528$标清
北京卫视,http://192.168.10.1:4022/rtp/239.20.0.121:2040$高清
北京卫视,http://192.168.10.1:4022/rtp/239.20.0.137:2072$标清
湖南卫视,http://192.168.10.1:4022/rtp/239.20.0.95:3020$超清
湖南卫视,http://192.168.10.1:4022/rtp/239.20.0.105:2008$高清
湖南卫视,http://192.168.10.1:4022/rtp/239.20.0.135:2068$标清
卡酷少儿,http://192.168.10.1:4022/rtp/239.20.0.162:2122$标清
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.170:2138$高清
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.93:3028$超清
江苏卫视,http://192.168.10.1:4022/rtp/239.20.0.107:2012$标清
东方卫视,http://192.168.10.1:4022/rtp/239.20.0.173:2144$高清
东方卫视,http://192.168.10.1:4022/rtp/239.20.0.108:2014$标清
江西卫视,http://192.168.10.1:4022/rtp/239.20.0.55:3180$高清
江西卫视,http://192.168.10.1:4022/rtp/239.20.0.138:2074$标清
河南卫视,http://192.168.10.1:4022/rtp/239.21.0.104:3756$高清
河南卫视,http://192.168.10.1:4022/rtp/239.20.0.144:2086$标清
云南卫视,http://192.168.10.1:4022/rtp/239.21.0.133:3876$高清
云南卫视,http://192.168.10.1:4022/rtp/239.20.0.145:2088$标清
陕西卫视,http://192.168.10.1:4022/rtp/239.20.0.151:2100$标清
山西卫视,http://192.168.10.1:4022/rtp/239.20.0.152:2102$标清
内蒙古卫视,http://192.168.10.1:4022/rtp/239.20.0.153:2104$标清
